MC_T_1200 EUR,EUR,0.2,NULL,NULL,NULL
MC_T_1500 EUR,EUR,0.25,NULL,NULL,NULL
MC_T_2000 EUR,EUR,0.3333,NULL,NULL,NULL
MC_T_2500 EUR,EUR,0.4167,NULL,NULL,NULL
COM211,EUR,0.4583,NULL,NULL,NULL
MC_T_3000 EUR,EUR,0.5,NULL,NULL,NULL
MC_T_4500 EUR,EUR,0.75,NULL,NULL,NULL
MC_T_8000 EUR,EUR,1.3333,NULL,NULL,NULL
MC_T_450 EUR PKG,EUR,0.075,NULL,NULL,NULL
MC_T_1500 EUR PKG,EUR,0.25,NULL,NULL,NULL
COM206,SEK,0.248,NULL,NULL,NULL
MC_T_16 SEK PKG,SEK,0.2666,NULL,NULL,NULL
MC_T_20_SEK_PKG,SEK,0.3334,NULL,NULL,NULL
MC_T_24_SEK_PKG,SEK,0.4,NULL,NULL,NULL
COM207,SEK,0.416,NULL,NULL,NULL
MC_T_32 SEK PKG,SEK,0.5333,NULL,NULL,NULL
MC_T_40_SEK_PKG,SEK,0.6666,NULL,NULL,NULL
MC_T_48_SEK_PKG,SEK,0.8,NULL,NULL,NULL
MC_T_64_SEK_PKG,SEK,1.0666,NULL,NULL,NULL
MC_T_80 SEK PKG,SEK,1.3333,NULL,NULL,NULL
MC_T_96_SEK_PKG,SEK,1.6,NULL,NULL,NULL
ION200,EUR,NULL,NULL,0.6666,NULL
ION200_MC,EUR,NULL,NULL,0.4141,NULL
ION201,EUR,NULL,NULL,0.6666,NULL
ION202,CHF,NULL,NULL,0.7373,NULL
ION203,EUR,NULL,NULL,0.6565,NULL
ION203_MC,EUR,NULL,NULL,0.404,NULL
ION204,GBP,NULL,NULL,0.5858,NULL
ION205,NOK,NULL,NULL,6.7872,NULL
ION206,SEK,NULL,NULL,7.0296,NULL
ION207,DKK,NULL,NULL,5.0096,NULL
ION208,EUR,NULL,NULL,0.6565,NULL
ION208_MC,EUR,NULL,NULL,0.404,NULL
ION209,EUR,NULL,NULL,0.6464,NULL
ION211,HUF,NULL,NULL,222.6747,NULL
ION212,HRK,NULL,NULL,5.0096,NULL
ION213,CZK,NULL,NULL,17.5336,NULL
ION214,EUR,NULL,NULL,0.6464,NULL
ION215,PLN,NULL,NULL,2.8785,NULL
ION216,EUR,NULL,NULL,0.5151,NULL
ION314,EUR,0.6464,NULL,NULL,NULL
ION317,EUR,NULL,NULL,0.57,NULL
ION317_MC,EUR,NULL,NULL,0.33,NULL
MC_AUC_AC3,EUR,NULL,NULL,0.2521,0.8319
MC_AUC_DC3,EUR,NULL,NULL,0.2941,0.8319
MC_AUC_HPC3,EUR,NULL,NULL,0.2941,0.8319
MC_AUC_HUB3,EUR,0.084,45,0.3,NULL
MC_AUC_M_AC3,EUR,NULL,NULL,0.3277,NULL
MC_AUC_M_HPC3,EUR,NULL,NULL,0.4118,NULL
MC_AUC_CHF_HUB3,CHF,0.0929,45,0.3,NULL
